img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/3217567ccc.jpg,Jet Moto 2,PS,Racing,Sony Computer Entertainment,SingleTrac,,1.94,1.41,0.03,0.42,0.07,31/10/97,
/games/boxart/5963603ccc.jpg,FIFA Soccer 09,X360,Sports,Electronic Arts,EA Canada,8.7,1.94,0.49,0.01,1.26,0.18,14/10/08,
/games/boxart/6735244ccc.jpg,X-Men Legends,PS2,Role-Playing,Activision,Raven Software,8.6,1.93,1,,0.72,0.21,21/09/04,
/games/boxart/full_3519516AmericaFrontccc.jpg,Virtua Fighter 2,SAT,Fighting,Sega,Sega-AM2,,1.93,0.34,1.3,0.26,0.03,01/01/96,
/games/boxart/6351988ccc.jpg,Mortal Kombat II,SNES,Fighting,Acclaim Entertainment,Sculptured Software,,1.93,1.48,,0.39,0.06,01/01/94,
/games/boxart/full_the-sims-makin-magic_942AmericaFront.jpg,The Sims: Makin' Magic,PC,Simulation,Electronic Arts,Maxis,,1.92,1.03,,0.8,0.09,28/10/03,
/games/boxart/4651741ccc.jpg,The Legend of Zelda: Oracle of Ages,GBC,Adventure,Nintendo,Flagship,9.4,1.92,0.92,0.41,0.53,0.06,13/05/01,06/01/18
/games/boxart/2578106ccc.jpg,Guitar Hero: World Tour,PS3,Misc,Activision,Neversoft Entertainment,8.5,1.92,1.1,,0.55,0.27,26/10/08,
/games/boxart/full_4909422AmericaFrontccc.jpg,Star Wars Battlefront II (2017),XOne,Shooter,Electronic Arts,EA DICE,,1.92,1.15,,0.59,0.17,17/11/17,29/12/17
/games/boxart/8683740ccc.jpg,Red Faction,PS2,Shooter,THQ,Volition Inc.,9.1,1.92,0.76,,0.96,0.2,21/05/01,
/games/boxart/4507556ccc.jpg,MX Unleashed,PS2,Racing,THQ,Rainbow Studios,,1.92,0.94,,0.73,0.25,17/02/04,
/games/boxart/full_6648091AmericaFrontccc.jpeg,Lego Marvel Super Heroes,PS4,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,1.91,0.59,0.01,1,0.3,15/11/13,01/12/18
/games/boxart/full_1453628AmericaFrontccc.jpg,Madden NFL 18,XOne,Sports,EA Sports,EA Tiburon,8.8,1.91,1.63,,0.07,0.2,25/08/17,03/04/18
/games/boxart/full_9718795AmericaFrontccc.jpg,Need for Speed: Shift,X360,Racing,Electronic Arts,Slightly Mad Studios,8.2,1.91,0.73,0.01,0.96,0.22,15/09/09,
/games/boxart/3258468ccc.jpg,Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,LucasArts,Factor 5,9.2,1.9,1.03,0.03,0.75,0.09,09/11/01,
/games/boxart/full_6890376AmericaFrontccc.jpg,Tomb Raider (2013),X360,Action,Square Enix,Crystal Dynamics,8.5,1.9,0.86,0.01,0.87,0.16,05/03/13,06/01/18
/games/boxart/full_7052292AmericaFrontccc.jpg,Batman: Arkham Origins,X360,Action-Adventure,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,,1.9,1.15,0,0.58,0.17,25/10/13,13/04/18
/games/boxart/full_8684791AmericaFrontccc.jpg,Toy Story Mania!,Wii,Misc,Disney Interactive Studios,Papaya Studios,,1.89,1.04,,0.66,0.19,15/09/09,
/games/boxart/full_6736771AmericaFrontccc.jpg,Madden NFL 09,PS3,Sports,EA Sports,EA Tiburon,8.6,1.89,1.56,0,0.15,0.18,12/08/08,
/games/boxart/full_4305946AmericaFrontccc.jpg,Monopoly,Wii,Misc,Electronic Arts,EA Bright Light,,1.89,0.86,0,0.83,0.2,20/10/08,
/games/boxart/full_8777882AmericaFrontccc.jpg,Minecraft,NS,Sandbox,Mojang,4J Studios,9.2,1.89,0.69,0.52,0.56,0.12,21/06/18,26/01/19
/games/boxart/1634729ccc.jpg,Hot Shots Golf 2,PS,Sports,Sony Computer Entertainment,Clap Hanz,,1.88,0.25,1.48,0.12,0.03,29/02/00,
/games/boxart/full_8319372AmericaFrontccc.jpg,Mortal Kombat: Deception,PS2,Fighting,Midway Games,Midway Games,7.4,1.88,0.92,,0.72,0.24,04/10/04,
/games/boxart/full_6777771AmericaFrontccc.jpg,Game Party 2,Wii,Misc,Midway Games,FarSight Studios,,1.88,1.28,,0.44,0.17,06/10/08,
